"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH","AWVHT","MWVHT","WVHT","APD"
"04/04/2017","07:40","05.5","230","06.5","10.2","N/A","1023.5","3.55","0.62","0.67","0.99","19.70"
"04/04/2017","07:45","04.2","236","05.0","10.2","N/A","1023.6","3.53","0.63","0.73","0.77","15.06"
"04/04/2017","07:50","04.0","229","04.6","10.2","N/A","1023.6","3.43","0.78","0.83","0.77","15.06"
"04/04/2017","07:55","04.2","255","05.0","10.2","N/A","1023.8","3.38","0.68","0.84","0.77","15.06"
"04/04/2017","08:00","04.9","256","05.8","10.2","N/A","1023.9","3.35","0.75","0.80","0.81","19.70"
"04/04/2017","08:05","04.5","249","05.8","10.3","N/A","1023.8","3.26","0.77","0.82","0.81","19.70"
"04/04/2017","08:10","04.7","252","05.8","10.3","N/A","1023.9","3.20","0.68","0.75","0.81","19.70"
"04/04/2017","08:15","04.2","262","05.5","10.3","N/A","1023.9","3.12","0.73","0.79","0.81","19.70"
"04/04/2017","08:20","03.4","266","04.4","10.3","N/A","1024.3","3.05","0.69","0.83","0.81","19.70"
"04/04/2017","08:25","02.9","258","03.4","10.3","N/A","1024.1","2.96","0.79","0.87","0.81","19.70"
"04/04/2017","08:30","01.8","274","02.7","10.3","N/A","1024.1","2.89","0.75","0.87","0.87","19.70"
"04/04/2017","08:35","02.6","297","03.2","10.3","N/A","1024.3","2.83","0.85","0.97","0.87","19.70"
"04/04/2017","08:40","02.6","317","03.1","10.4","N/A","1024.3","2.75","0.73","0.82","0.87","19.70"
"04/04/2017","08:45","02.4","322","02.9","10.4","N/A","1024.3","2.67","0.75","0.81","0.84","17.07"
"04/04/2017","08:50","02.1","333","02.7","10.4","N/A","1024.3","2.58","0.63","0.74","0.84","17.07"
"04/04/2017","08:55","01.8","352","02.3","10.5","N/A","1024.3","2.51","0.86","0.94","0.84","17.07"
"04/04/2017","09:00","01.5","348","02.3","10.5","N/A","1024.3","2.47","0.87","0.94","0.87","17.07"
"04/04/2017","09:05","01.6","349","02.1","10.6","N/A","1024.4","2.40","0.91","0.94","0.87","17.07"
"04/04/2017","09:10","02.6","350","03.5","10.6","N/A","1024.4","2.31","0.78","0.83","0.87","17.07"
"04/04/2017","09:15","01.9","341","03.1","10.6","N/A","1024.6","2.26","0.81","0.91","0.89","17.07"
"04/04/2017","09:20","01.7","351","02.7","10.6","N/A","1024.6","2.20","0.71","0.80","0.89","17.07"
"04/04/2017","09:25","01.6","015","02.5","10.6","N/A","1024.7","2.15","0.84","0.89","0.89","17.07"
"04/04/2017","09:30","02.4","031","03.2","10.7","N/A","1024.7","2.09","0.74","0.81","0.82","19.70"
